Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
Custom,01/03/18,W,0,W,0,0
Custom,01/10/18,W,W,0,0,W
Custom,01/17/18,W,0,W,0,0
Custom,01/24/18,W,W,0,0,W
Custom,01/31/18,W,0,W,0,0
Custom,02/07/18,W,W,0,0,0
Custom,02/14/18,W,0,W,0,0
Custom,02/21/18,W,W,0,0,0
Custom,02/28/18,W,0,W,0,0
Custom,03/07/18,W,W,0,0,0
Custom,03/14/18,W,0,W,0,0
Custom,03/21/18,W,W,0,W,0
Custom,03/28/18,W,0,W,0,0
Custom,04/04/18,W,W,0,W,0
Custom,04/11/18,W,0,W,0,0
Custom,04/18/18,W,W,0,W,0
Custom,04/25/18,W,1,W,0,0
Custom,05/02/18,W,1,0,W,0
Custom,05/09/18,W,1,W,0,0
Custom,05/16/18,W,1,0,W,0
Custom,05/23/18,1,1,0,0,0
Custom,05/30/18,0,1,1,0,0
Custom,06/06/18,1,1,0,0,0
Custom,06/13/18,0,1,1,0,0
Custom,06/20/18,1,1,0,0,0
Custom,06/27/18,0,1,1,0,0
Custom,07/04/18,1,1,0,0,0
Custom,07/11/18,0,1,1,0,0
Custom,07/18/18,1,1,0,0,0
Custom,07/25/18,0,1,1,0,0
Custom,08/01/18,1,1,0,0,0
Custom,08/08/18,0,1,1,0,0
Custom,08/15/18,1,1,0,0,0
Custom,08/22/18,0,1,1,0,0
Custom,08/29/18,1,1,0,0,0
Custom,09/05/18,0,1,1,0,0
Custom,09/12/18,1,1,0,0,0
Custom,09/19/18,0,1,1,0,0
Custom,09/26/18,1,1,0,0,0
Custom,10/03/18,0,1,1,0,0
Custom,10/10/18,1,1,0,0,0
Custom,10/17/18,0,1,1,0,0
Custom,10/24/18,1,1,0,0,0
Custom,10/31/18,0,1,1,0,0
Custom,11/07/18,1,1,0,0,0
Custom,11/14/18,0,1,1,0,0
Custom,11/21/18,1,1,0,0,0
Custom,11/28/18,0,1,1,0,0
Custom,12/05/18,1,1,0,0,0
Custom,12/12/18,0,1,1,0,0
Custom,12/19/18,1,1,0,0,0
Custom,12/26/18,0,1,1,0,0
